phrase_text,group_size,confidence_score,word_count,status,needs_correction,correction_suggestion,final_correction,correction_source,source_documents,unique_companies,total_instances,best_phrase_id,best_file_name,context,created_at,updated_at
เท่า,200,,1,reviewed,True,,,needs_manual_review,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Ratio.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Ratio.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Ratio.pdf; บริษัท ภัทรมารีน จำกัด_Ratio.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Ratio.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Ratio.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Ratio.pdf; บริษัท ไทจีนิค จำกัด_Ratio.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Ratio.pdf; ใบตาล เทอร์บายน์ จำกัด_Ratio.pdf,Uncategorized; ไม่ระบุบริษัท,200,532,,"Row 1, Col 0: อัตราส่วนทุนหมุนเวียน ( เท่า )...",2025-11-25 19:11:05,2025-11-25 19:26:00
บจก,144,,1,reviewed,True,,บจก.,dictionary_abbreviation_punctuation,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Related.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Related.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Related.pdf; บริษัท ภัทรมารีน จำกัด_Related.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Related.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Related.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Related.pdf; บริษัท ไทจีนิค จำกัด_Related.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Related.pdf; ใบตาล เทอร์บายน์ จำกัด_Related.pdf,Uncategorized; ไม่ระบุบริษัท,144,691,,"Row 1, Col 1: โฮชุง อินดัสเตรียล ( ประเทศไทย ) ( บจก .)...",2025-11-25 19:11:05,2025-11-25 19:26:00
รวม,72,,1,reviewed,True,,,needs_manual_review,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Shareholders.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Shareholders.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Shareholders.pdf; บริษัท ภัทรมารีน จำกัด_Shareholders.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Shareholders.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Shareholders.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Shareholders.pdf; บริษัท ไทจีนิค จำกัด_Shareholders.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Shareholders.pdf; ใบตาล เทอร์บายน์ จำกัด_Shareholders.pdf,Uncategorized; ไม่ระบุบริษัท,72,468,,"Row 3, Col 0: รวม...",2025-11-25 19:11:05,2025-11-25 19:26:00
สินทรัพย์หมุนเวียนอืน,64,,1,reviewed,True,สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,dictionary_character_fix,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_BS67.pdf; บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Cash Flow.pdf; บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Compare BS.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_BS67.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Cash Flow.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Compare BS.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Cash Flow.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Compare BS.pdf; บริษัท ภัทรมารีน จำกัด_Cash Flow.pdf; บริษัท ภัทรมารีน จำกัด_Compare BS.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_BS67.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Cash Flow.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Compare BS.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Compare BS.pdf; บริษัท ไทจีนิค จำกัด_BS67.pdf; บริษัท ไทจีนิค จำกัด_Cash Flow.pdf; บริษัท ไทจีนิค จำกัด_Compare BS.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_BS67.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Cash Flow.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Compare BS.pdf; ใบตาล เทอร์บายน์ จำกัด_BS67.pdf; ใบตาล เทอร์บายน์ จำกัด_Cash Flow.pdf; ใบตาล เทอร์บายน์ จำกัด_Compare BS.pdf,Uncategorized; ไม่ระบุบริษัท,64,6,,"Row 5, Col 0: สินทรัพย์หมุนเวียนอืน...",2025-11-25 19:11:05,2025-11-25 19:26:00
วัน,60,,1,reviewed,True,,,needs_manual_review,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Ratio.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Ratio.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Ratio.pdf; บริษัท ภัทรมารีน จำกัด_Ratio.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Ratio.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Ratio.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Ratio.pdf; บริษัท ไทจีนิค จำกัด_Ratio.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Ratio.pdf; ใบตาล เทอร์บายน์ จำกัด_Ratio.pdf,Uncategorized; ไม่ระบุบริษัท,60,541,,"Row 6, Col 0: ระยะเวลาเก็บหนี ( วัน )...",2025-11-25 19:11:05,2025-11-25 19:26:00
รวมส่วนของผู้ถือหุ้น,52,,1,reviewed,True,รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,dictionary_spacing,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_BS67.pdf; บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Compare BS.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_BS67.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Compare BS.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_BS67.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Compare BS.pdf; บริษัท ภัทรมารีน จำกัด_BS67.pdf; บริษัท ภัทรมารีน จำกัด_Compare BS.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_BS67.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Compare BS.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_BS67.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Compare BS.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_BS67.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Compare BS.pdf; บริษัท ไทจีนิค จำกัด_BS67.pdf; บริษัท ไทจีนิค จำกัด_Compare BS.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_BS67.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Compare BS.pdf; ใบตาล เทอร์บายน์ จำกัด_BS67.pdf; ใบตาล เทอร์บายน์ จำกัด_Compare BS.pdf,Uncategorized; ไม่ระบุบริษัท,52,43,,"Row 2, Col 0: รวมส่วนของผู้ถือหุ้น...",2025-11-25 19:11:05,2025-11-25 19:26:00
บาท,44,,1,reviewed,True,,,needs_manual_review,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Compare BS.pdf; บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Gen Info.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Compare BS.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Compare BS.pdf; บริษัท ภัทรมารีน จำกัด_Compare BS.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Compare BS.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Gen Info.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Compare BS.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Compare BS.pdf; บริษัท ไทจีนิค จำกัด_Compare BS.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Compare BS.pdf; ใบตาล เทอร์บายน์ จำกัด_Compare BS.pdf,Uncategorized; ไม่ระบุบริษัท,44,143,,"Row 12, Col 0: มูลค่าทีตราไว ( บาท ) - จด ทะเบียน...",2025-11-25 19:11:05,2025-11-25 19:26:00
สะสม,43,,1,reviewed,True,,,needs_manual_review,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_BS67.pdf; บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Compare BS.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_BS67.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Compare BS.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_BS67.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Compare BS.pdf; บริษัท ภัทรมารีน จำกัด_BS67.pdf; บริษัท ภัทรมารีน จำกัด_Compare BS.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_BS67.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Compare BS.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_BS67.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Compare BS.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_BS67.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Compare BS.pdf; บริษัท ไทจีนิค จำกัด_BS67.pdf; บริษัท ไทจีนิค จำกัด_Compare BS.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_BS67.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Compare BS.pdf; ใบตาล เทอร์บายน์ จำกัด_BS67.pdf; ใบตาล เทอร์บายน์ จำกัด_Compare BS.pdf,Uncategorized; ไม่ระบุบริษัท,43,35,,"Row 32, Col 0: กําไร ( ขาดทุน ) สะสม...",2025-11-25 19:11:05,2025-11-25 19:26:00
มูลค่าทีตราไว,40,,1,reviewed,True,มูลค่าที่ตราไว,มูลค่าที่ตราไว,dictionary_character_fix,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Compare BS.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Compare BS.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Compare BS.pdf; บริษัท ภัทรมารีน จำกัด_Compare BS.pdf; บริษัท วัฒนาวิชั่นกรุ๊ป จำกัด_Compare BS.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Compare BS.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Compare BS.pdf; บริษัท ไทจีนิค จำกัด_Compare BS.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Compare BS.pdf; ใบตาล เทอร์บายน์ จำกัด_Compare BS.pdf,Uncategorized; ไม่ระบุบริษัท,40,142,,"Row 12, Col 0: มูลค่าทีตราไว ( บาท ) - จด ทะเบียน...",2025-11-25 19:11:05,2025-11-25 19:26:00
ค่าใช จ่ายค างจ่าย,29,,3,reviewed,True,ค่าใช้จ่ายค่างจ่าย,ค่าใช้จ่ายค่างจ่าย,dictionary_character_fix,บจก.ยงยุทธ ก่อสร้างและการโยธา (2499)_Compare BS.pdf; บริษัท พาวเวอร์เมคซิสเท็ม จำกัด_Compare BS.pdf; บริษัท พิรุฬห์ แอสเซมบลีย์ จำกัด_Compare BS.pdf; บริษัท ภัทรมารีน จำกัด_Compare BS.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Cash Flow.pdf; บริษัท สโตเรจซิสเต็ม อินดัสตรี จำกัด_Compare BS.pdf; บริษัท โฮชุง อินดัสเตรียล (ประเทศไทย) จำกัด_Compare BS.pdf; บริษัท ไทยนิยม อินเตอร์โปรดักส์ จำกัด_Compare BS.pdf; ใบตาล เทอร์บายน์ จำกัด_Cash Flow.pdf; ใบตาล เทอร์บายน์ จำกัด_Compare BS.pdf,Uncategorized; ไม่ระบุบริษัท,29,59,,"Row 12, Col 0: ค่าใช จ่ายค างจ่าย...",2025-11-25 19:11:05,2025-11-25 19:26:00
